,Titulos,URL,Precio en pesos,En USD (publicado),En USD BLUE,fecha
62,CORALINE,https://cuspide.com/producto/coraline/,"$6.199,00","USD$16,96",blue_USD: $7.0,07-10-2023
63,COMETIERRA 10 EDIC,https://cuspide.com/producto/cometierra-10-edic/,"$7.300,00","USD$19,97",blue_USD: $8.25,07-10-2023
64,PAIS DE MIERDA,https://cuspide.com/producto/pais-de-mierda/,"$8.900,00","USD$24,35",blue_USD: $10.06,07-10-2023
65,LAS MUJERES QUE AMAN DEMASIADO,https://cuspide.com/producto/las-mujeres-que-aman-demasiado/,"$6.599,00","USD$18,05",blue_USD: $7.46,07-10-2023
66,GATURRO CAMPEONES !!,https://cuspide.com/producto/gaturro-campeones/,"$4.290,00","USD$11,74",blue_USD: $4.85,07-10-2023
67,MI DIARIO SECRETO : ROSA,https://cuspide.com/producto/mi-diario-secreto-rosa/,"$6.749,00","USD$18,47",blue_USD: $7.63,07-10-2023
68,TWISTED 2 . TWISTED GAMES,https://cuspide.com/producto/twisted-2-twisted-games/,"$9.900,00","USD$27,09",blue_USD: $11.19,07-10-2023
69,CADAVER EXQUISITO,https://cuspide.com/producto/cadaver-exquisito-2/,"$10.499,00","USD$28,73",blue_USD: $11.86,07-10-2023
70,COMO SER UN ESTOICO,https://cuspide.com/producto/como-ser-un-estoico/,"$8.600,00","USD$23,53",blue_USD: $9.72,07-10-2023
71,LAS AVENTURAS DE LYNA Y DANI : ELIGE TU HISTORIA,https://cuspide.com/producto/las-aventuras-de-lyna-y-dani-elige-tu-historia/,"$3.999,00","USD$10,94",blue_USD: $4.52,07-10-2023
72,TUS ZONAS ERRONEAS,https://cuspide.com/producto/tus-zonas-erroneas/,"$7.199,00","USD$19,70",blue_USD: $8.13,07-10-2023
